,life_expectancy,income,co2_emissions(tonnes/person),total_health_spending,gov_health_spending,kcal_day,sugar_g_day,Schooling,Alcohol, BMI ,children/woman
297,44.5,412.0,0.0713,9.97,4.13,1980.0,27.7,5.2,1.51,16.5,5.5
298,44.4,422.0,0.0641,9.85,3.82,1990.0,21.4,5.3,1.52,16.8,5.48
299,44.5,428.0,0.0629,10.7,4.39,2000.0,21.3,5.4,1.47,17.2,5.46
300,44.6,398.0,0.0589,11.9,4.72,1970.0,26.2,5.6,1.49,17.5,5.44
301,44.8,414.0,0.0579,12.9,4.9,1990.0,28.2,5.7,1.5,17.9,5.41
302,45.0,410.0,0.0568,12.5,4.42,2030.0,28.5,5.9,1.5,18.2,5.38
303,45.3,422.0,0.0593,13.7,4.84,2030.0,24.0,6.0,1.54,18.6,5.35
304,45.7,434.0,0.0592,16.7,5.72,2090.0,25.7,6.2,1.5,19.0,5.32
305,46.3,436.0,0.0582,18.5,6.16,2130.0,25.7,6.3,1.52,19.4,5.29
306,47.0,438.0,0.0575,18.3,6.25,2140.0,24.6,6.4,1.56,19.8,5.25
307,47.5,446.0,0.0593,18.2,6.44,2160.0,23.3,6.6,1.67,2.2,5.22
308,52.2,463.0,0.0211,10.6,4.49,1950.0,20.2,4.7,0.25,13.9,7.35
309,52.4,497.0,0.0199,12.1,4.81,2020.0,19.5,4.9,0.3,14.1,7.32
310,52.6,519.0,0.0187,18.0,5.59,1970.0,20.6,5.1,0.36,14.4,7.27
311,52.8,573.0,0.0408,17.3,8.09,2020.0,19.6,5.4,0.42,14.8,7.21
312,53.1,738.0,0.0389,23.8,8.45,2030.0,23.1,5.6,0.34,15.1,7.15
313,53.9,835.0,0.0397,25.6,10.5,2030.0,25.1,5.6,0.42,15.4,7.07
314,54.1,812.0,0.0391,24.4,7.83,2020.0,25.2,5.5,0.41,15.7,6.99
315,54.9,811.0,0.0429,28.4,6.6,2030.0,24.9,5.7,0.42,16.1,6.9
316,55.2,809.0,0.0458,28.0,6.04,2030.0,22.4,6.0,0.45,16.4,6.8
317,55.9,816.0,0.0427,28.4,5.61,2020.0,21.3,6.3,0.47,16.7,6.7
318,56.5,897.0,0.0435,30.6,7.65,2060.0,25.3,6.7,0.5,17.1,6.59
319,77.2,9470.0,3.85,405.0,169.0,2830.0,125.0,13.5,6.24,54.0,2.11
320,77.4,9670.0,3.45,371.0,159.0,2870.0,122.0,13.7,6.1,54.7,2.07
321,77.7,9850.0,3.53,359.0,157.0,2900.0,124.0,13.9,6.06,55.4,2.05
